recharge_id,msisdn,amount,plan_id,channel,timestamp,status,balance_after
4001,9860866938,986.96,2009,App,2025-08-29 04:01:00,PENDING,125.14
4002,9622843019,949.00,2013,App,2025-11-14 20:52:00,FAILED,25.14
4003,9325737452,149.00,2002,USSD,2025-12-30 02:06:00,PENDING,2.47
4004,9181990715,399.00,2007,USSD,2025-10-14 14:32:00,SUCCESS,530.27
4005,9348436435,499.00,2001,Online,2026-06-29 22:13:00,SUCCESS,676.74
4006,9822571845,299.00,2020,Online,2025-10-06 18:13:00,SUCCESS,456.36
4007,9912600675,899.00,2016,Online,2025-09-04 08:16:00,SUCCESS,1028.00
4008,9594823692,149.00,2003,Online,2025-10-17 09:51:00,SUCCESS,304.29
4009,9587920991,318.99,2023,Retailer,2025-10-23 00:41:00,SUCCESS,471.26
4010,9493943514,899.00,2016,Retailer,2026-03-29 15:22:00,SUCCESS,933.24
4011,9936325482,849.00,2022,USSD,2026-07-13 23:13:00,SUCCESS,1022.60
4012,9516681609,149.00,2003,App,2026-06-21 14:40:00,SUCCESS,149.83
4013,9904117280,849.00,2015,Online,2026-06-23 18:24:00,SUCCESS,1037.68
4014,9164061537,899.00,2016,,2026-01-13 04:21:00,SUCCESS,1080.63
4015,9678283390,297.88,2025,App,2026-01-26 00:09:00,SUCCESS,493.34
4016,9191762701,649.00,2019,App,2025-11-30 05:31:00,SUCCESS,765.98
4017,9616175588,306.42,2008,Online,2026-01-23 12:58:00,SUCCESS,340.34
4018,9890977992,179.00,2009,Retailer,2026-08-06 10:23:00,SUCCESS,268.53
4019,9817708292,499.00,2001,Online,2026-08-03 21:08:00,SUCCESS,508.19
4020,9153292866,149.00,2003,App,2025-10-20 03:43:00,SUCCESS,196.12
4021,9788982046,649.00,2019,,2026-06-01 18:35:00,FAILED,134.56
4022,9596576052,179.00,2009,Retailer,2026-04-09 22:59:00,FAILED,32.33
4023,9908925990,2999.00,2025,App,2026-03-14 02:17:00,SUCCESS,3037.24
4024,9590605164,707.16,2001,Bank Portal,2025-09-04 00:33:00,SUCCESS,794.79
4025,9723932732,801.71,2019,USSD,2026-05-10 12:03:00,SUCCESS,886.58
4026,9717212766,149.00,2003,Retailer,2026-03-05 18:14:00,SUCCESS,220.31
4027,9827686467,949.00,2010,Bank Portal,2025-10-22 00:11:00,SUCCESS,1122.69
4028,9405300991,899.00,2018,Bank Portal,2026-02-13 23:41:00,SUCCESS,1091.23
4029,9460499989,849.00,2015,App,2026-07-03 07:58:00,SUCCESS,995.53
4030,9047797926,849.00,2015,App,2026-07-21 16:46:00,SUCCESS,894.98
4031,9440265125,965.45,2022,Retailer,2026-06-03 18:41:00,FAILED,115.06
4032,9645417845,946.85,2010,,2026-07-08 09:22:00,SUCCESS,1078.69
4033,9479723140,499.00,2001,USSD,2026-04-14 20:58:00,SUCCESS,692.38
4034,9471496750,957.28,2021,Bank Portal,2025-08-18 17:30:00,SUCCESS,1090.19
4035,9353531213,149.00,2003,Online,2025-09-18 08:28:00,SUCCESS,284.69
4036,9291680295,495.36,2017,Bank Portal,2026-01-15 07:15:00,SUCCESS,610.67
4037,9085477032,2999.00,2025,,2025-08-12 05:15:00,SUCCESS,3182.17
4038,9773178668,899.00,2016,USSD,2026-02-12 01:03:00,SUCCESS,1056.12
4039,9460203900,479.00,2024,Retailer,2025-09-28 22:09:00,SUCCESS,564.07
4040,9554154137,239.00,2017,Online,2026-02-05 14:07:00,SUCCESS,408.00
4041,9171524016,849.00,2022,Online,2026-07-17 01:47:00,SUCCESS,954.29
4042,9676065242,849.00,2022,Online,2025-10-27 02:36:00,SUCCESS,867.38
